Timestamp,FlexL,AbducL,FlexR,AbducR
2340.621000,61.838390,61.838390,79.955070,79.955070
2340.655000,62.901420,62.901420,79.907810,79.907810
2340.686000,65.296960,65.296960,81.277240,81.277240
2340.720000,66.078940,66.078940,82.699230,82.699230
2340.754000,66.918990,66.918990,82.392490,82.392490
2340.788000,67.381530,67.381530,83.138530,83.138530
2340.821000,67.143330,67.143330,83.920120,83.920120
2340.855000,65.479570,65.479570,84.606640,84.606640
2340.889000,65.557630,65.557630,85.761470,85.761470
2340.920000,65.268320,65.268320,87.844920,87.844920
2340.955000,64.882230,64.882230,87.058810,87.058810
2340.986000,63.182140,63.182140,88.816310,88.816310
2341.020000,62.224160,62.224160,88.870900,88.870900
2341.056000,61.837480,61.837480,88.565770,88.565770
2341.087000,59.911500,59.911500,88.827900,88.827900
2341.122000,58.015890,58.015890,89.203480,89.203480
2341.154000,57.042920,57.042920,88.772530,88.772530
2341.187000,54.813660,54.813660,88.679550,88.679550
2341.222000,48.550620,48.550620,88.862750,88.862750
2341.252000,48.074100,48.074100,88.735690,88.735690
2341.288000,47.185980,47.185980,88.164130,88.164130
2341.321000,45.786050,45.786050,89.128290,89.128290
2341.353000,45.240070,45.240070,89.614980,89.614980
2341.387000,43.656570,43.656570,88.434680,88.434680
2341.421000,43.137940,43.137940,87.914990,87.914990
2341.454000,41.092720,41.092720,86.157240,86.157240
2341.487000,42.131290,42.131290,84.877750,84.877750
2341.520000,43.978490,-43.978490,85.864100,85.864100
2341.554000,45.341690,-45.341690,84.502730,84.502730
2341.588000,45.883230,-45.883230,84.750680,84.750680
2341.621000,49.011160,-49.011160,84.770940,84.770940
2341.654000,50.458690,-50.458690,82.625600,82.625600
2341.687000,54.065120,-54.065120,83.614250,83.614250
2341.720000,55.009210,-55.009210,85.532080,85.532080
2341.756000,59.372330,-59.372330,84.850370,84.850370
2341.787000,59.035410,-59.035410,86.940080,86.940080
2341.821000,60.220170,-60.220170,86.816390,86.816390
2341.854000,59.537420,-59.537420,84.687640,84.687640
2341.888000,60.331670,-60.331670,84.950680,84.950680
2341.919000,59.660580,-59.660580,84.792140,84.792140
2341.955000,59.576760,-59.576760,85.051770,85.051770
2341.986000,59.398480,-59.398480,85.502070,85.502070
2342.020000,57.622590,-57.622590,86.688720,86.688720
2342.055000,58.082230,-58.082230,85.184740,85.184740
2342.087000,57.932840,-57.932840,86.423340,86.423340
2342.121000,57.083560,-57.083560,84.856980,84.856980
2342.156000,61.531080,-61.531080,84.087430,84.087430
2342.189000,60.700570,-60.700570,83.834790,83.834790
2342.222000,60.127680,-60.127680,84.474870,84.474870
2342.254000,59.536280,-59.536280,83.564370,83.564370
2342.287000,59.818480,-59.818480,83.652630,83.652630
2342.321000,59.691840,-59.691840,80.752270,80.752270
2342.354000,59.533990,-59.533990,80.985550,80.985550
2342.387000,59.194940,-59.194940,80.604090,80.604090
2342.421000,57.771090,-57.771090,80.143660,80.143660
2342.454000,56.317650,-56.317650,80.771160,80.771160
2342.486000,53.408950,-53.408950,79.202430,79.202430
2342.521000,48.469590,-48.469590,74.955200,74.955200
2342.555000,45.986220,-45.986220,74.783690,74.783690
2342.588000,42.395510,-42.395510,76.616590,76.616590
2342.622000,37.326380,-37.326380,75.624800,75.624800
2342.654000,33.898710,-33.898710,74.893890,74.893890
2342.688000,30.649180,-30.649180,74.235050,74.235050
2342.722000,27.055210,-27.055210,74.662220,74.662220
2342.753000,24.683420,24.683420,75.235760,75.235760
2342.787000,21.352830,21.352830,74.932230,74.932230
2342.820000,19.249440,19.249440,75.694660,75.694660
2342.855000,18.566790,18.566790,74.499040,74.499040
2342.888000,17.802810,17.802810,73.006330,73.006330
2342.921000,16.847750,16.847750,73.129070,73.129070
2342.955000,17.169270,17.169270,72.660980,72.660980
2342.988000,17.626370,17.626370,71.530140,71.530140
2343.023000,17.018470,17.018470,71.439960,71.439960
2343.056000,16.942300,16.942300,71.393550,71.393550
2343.089000,16.986870,16.986870,69.621590,69.621590
2343.120000,17.330510,17.330510,69.747090,69.747090
2343.154000,17.418530,17.418530,70.532590,70.532590
2343.190000,18.127570,18.127570,70.173040,70.173040
2343.220000,19.198640,19.198640,71.009030,71.009030
2343.255000,19.987300,19.987300,70.580870,70.580870
2343.287000,19.541000,19.541000,71.773710,71.773710
2343.321000,19.632740,19.632740,71.542410,71.542410
2343.355000,18.985650,18.985650,72.824760,72.824760
2343.388000,19.512450,19.512450,74.318880,74.318880
2343.422000,18.899090,18.899090,75.140350,75.140350
2343.454000,18.465430,18.465430,74.125050,74.125050
2343.488000,18.292470,18.292470,74.613530,74.613530
2343.522000,18.170120,18.170120,74.089130,74.089130
2343.555000,18.853570,18.853570,74.653340,74.653340
2343.588000,18.581190,18.581190,74.619900,74.619900
2343.621000,17.616640,17.616640,76.703320,76.703320
2343.654000,17.229960,17.229960,75.151330,75.151330
2343.688000,16.651400,16.651400,75.278660,75.278660
2343.721000,16.845100,16.845100,75.743550,75.743550
2343.755000,16.744140,16.744140,75.675230,75.675230
2343.788000,18.642620,18.642620,76.150860,76.150860
2343.822000,18.593650,18.593650,75.909470,75.909470
2343.856000,18.469440,18.469440,75.816120,75.816120
2343.889000,17.299670,17.299670,75.441950,75.441950
2343.920000,16.675050,16.675050,76.537830,76.537830
2343.956000,16.675050,16.675050,76.537830,76.537830
2343.989000,15.904200,15.904200,77.037420,77.037420
2344.023000,15.857540,15.857540,76.926620,76.926620
2344.054000,18.101340,18.101340,76.522930,76.522930
2344.087000,18.101650,18.101650,76.506480,76.506480
